5, 500, 410, 454, 231, 439, 2
6, 500, 355, 384, 324, 342, 6
7, 500, 326, 362, 209, 306, 26
8, 500, 366, 422, 296, 391, 81
2, 10, 8, 8, 8, 8, 0
3, 10, 6, 7, 4, 7, 0
4, 10, 8, 9, 1, 5, 0
5, 10, 7, 3, 4, 8, 0
6, 10, 6, 6, 4, 7, 2
7, 10, 7, 7, 6, 8, 5
8, 10, 5, 5, 6, 8, 15
2, 50, 25, 32, 18, 33, 0
3, 50, 41, 43, 31, 40, 0
4, 50, 45, 45, 40, 43, 0
5, 50, 46, 45, 46, 43, 1
6, 50, 41, 39, 39, 39, 3
7, 50, 41, 41, 34, 43, 6
8, 50, 46, 41, 40, 36, 21
2, 100, 82, 93, 82, 92, 0
3, 100, 69, 88, 69, 81, 0
4, 100, 70, 70, 45, 66, 0
5, 100, 59, 67, 59, 55, 1
6, 100, 71, 82, 71, 79, 3
7, 100, 77, 88, 54, 85, 8
8, 100, 88, 90, 49, 83, 25
2, 500, 407, 500, 407, 500, 0
3, 500, 328, 351, 166, 298, 1
4, 500, 324, 356, 324, 296, 1
5, 500, 340, 379, 179, 322, 2
6, 500, 353, 392, 264, 364, 6
7, 500, 365, 392, 270, 375, 25
8, 500, 374, 411, 298, 369, 78
2, 10, 6, 6, 6, 3, 0
3, 10, 10, 10, 5, 9, 0
4, 10, 6, 6, 4, 10, 0
5, 10, 10, 9, 9, 9, 1
6, 10, 6, 6, 4, 10, 2
7, 10, 8, 9, 7, 7, 5
8, 10, 5, 4, 3, 7, 15
2, 50, 28, 38, 12, 33, 0
3, 50, 31, 35, 14, 29, 0
4, 50, 42, 41, 38, 41, 0
5, 50, 36, 37, 33, 26, 1
6, 50, 31, 39, 30, 39, 2
7, 50, 46, 46, 43, 47, 7
8, 50, 34, 45, 34, 43, 20
2, 100, 93, 93, 93, 93, 0
3, 100, 89, 89, 89, 85, 0
4, 100, 84, 85, 70, 80, 0
5, 100, 95, 95, 80, 91, 1
6, 100, 89, 100, 63, 100, 2
7, 100, 62, 74, 56, 63, 8
8, 100, 89, 92, 71, 89, 26
2, 500, 500, 500, 0, 500, 0
3, 500, 412, 500, 412, 500, 0
4, 500, 348, 393, 348, 350, 0
5, 500, 400, 430, 220, 391, 2
6, 500, 312, 364, 312, 321, 6
7, 500, 387, 465, 349, 447, 24
8, 500, 393, 437, 284, 425, 79
2, 10, 7, 6, 7, 7, 0
3, 10, 7, 7, 7, 6, 0
4, 10, 8, 8, 4, 3, 0
5, 10, 6, 6, 4, 7, 0
6, 10, 10, 10, 6, 10, 2
7, 10, 9, 8, 9, 8, 5
8, 10, 7, 8, 8, 9, 16
2, 50, 40, 50, 40, 50, 0
3, 50, 36, 43, 36, 42, 0
4, 50, 30, 33, 18, 30, 0
5, 50, 44, 45, 31, 45, 1
6, 50, 44, 45, 32, 37, 2
7, 50, 36, 35, 21, 30, 6
8, 50, 44, 44, 41, 42, 21
2, 100, 54, 54, 40, 46, 0
3, 100, 79, 100, 79, 100, 0
4, 100, 73, 84, 64, 77, 0
5, 100, 78, 89, 50, 83, 1
6, 100, 80, 82, 30, 70, 3
7, 100, 83, 90, 57, 84, 8
8, 100, 74, 74, 74, 76, 26
2, 500, 365, 365, 135, 317, 0
3, 500, 305, 305, 234, 254, 0
4, 500, 344, 368, 279, 325, 0
5, 500, 414, 467, 414, 455, 2
6, 500, 347, 371, 230, 326, 6
7, 500, 393, 400, 106, 380, 21
8, 500, 433, 444, 228, 420, 78
2, 10, 8, 10, 8, 10, 0
3, 10, 10, 10, 10, 10, 0
4, 10, 6, 6, 6, 9, 0
5, 10, 6, 6, 8, 6, 0
6, 10, 9, 9, 5, 9, 2
7, 10, 8, 8, 8, 8, 5
8, 10, 7, 9, 6, 10, 16
2, 50, 45, 45, 45, 46, 0
3, 50, 36, 46, 36, 42, 0
4, 50, 43, 40, 41, 36, 0
5, 50, 45, 48, 26, 42, 1
6, 50, 35, 40, 23, 39, 3
7, 50, 32, 33, 28, 28, 6
8, 50, 35, 36, 30, 41, 20
2, 100, 82, 94, 82, 90, 0
3, 100, 78, 78, 78, 76, 0
4, 100, 58, 60, 58, 66, 0
5, 100, 82, 87, 82, 82, 1
6, 100, 62, 71, 37, 59, 3
7, 100, 63, 80, 49, 73, 8
8, 100, 83, 81, 38, 80, 26
2, 500, 381, 500, 381, 500, 0
3, 500, 380, 436, 311, 416, 0
4, 500, 365, 378, 286, 333, 0
5, 500, 435, 450, 435, 446, 2
6, 500, 365, 410, 266, 370, 6
7, 500, 413, 454, 196, 419, 21
8, 500, 312, 358, 267, 329, 84
2, 10, 8, 8, 8, 9, 0
3, 10, 7, 7, 7, 3, 0
4, 10, 8, 8, 6, 9, 0
5, 10, 8, 8, 8, 6, 0
6, 10, 9, 9, 8, 9, 2
7, 10, 8, 10, 10, 10, 6
8, 10, 7, 8, 8, 10, 17
2, 50, 37, 50, 37, 50, 0
3, 50, 24, 24, 15, 29, 0
4, 50, 45, 46, 45, 42, 0
5, 50, 34, 38, 28, 36, 1
6, 50, 30, 33, 30, 34, 2
7, 50, 39, 46, 33, 44, 7
8, 50, 39, 37, 28, 35, 19
2, 100, 100, 100, 0, 100, 0
3, 100, 65, 70, 53, 66, 0
4, 100, 66, 87, 60, 83, 0
5, 100, 85, 86, 60, 81, 1
6, 100, 92, 92, 18, 87, 2
7, 100, 85, 90, 78, 79, 9
8, 100, 82, 76, 63, 78, 26
2, 500, 378, 500, 378, 500, 0
3, 500, 383, 418, 383, 390, 0
4, 500, 307, 362, 216, 327, 0
5, 500, 419, 432, 419, 413, 2
6, 500, 395, 408, 184, 378, 6
7, 500, 401, 438, 323, 409, 21
8, 500, 338, 387, 275, 378, 79
2, 10, 8, 10, 8, 10, 0
3, 10, 10, 10, 10, 10, 0
4, 10, 10, 10, 7, 9, 0
5, 10, 4, 6, 3, 10, 0
6, 10, 10, 8, 10, 8, 2
7, 10, 5, 5, 9, 8, 5
8, 10, 7, 7, 5, 5, 16
2, 50, 27, 39, 27, 29, 0
3, 50, 39, 39, 36, 39, 0
4, 50, 39, 39, 30, 42, 0
5, 50, 46, 44, 21, 44, 1
6, 50, 28, 35, 9, 34, 2
7, 50, 40, 42, 31, 37, 7
8, 50, 43, 47, 38, 46, 22
2, 100, 100, 100, 0, 100, 0
3, 100, 85, 85, 85, 86, 0
4, 100, 79, 83, 79, 75, 0
5, 100, 84, 83, 84, 82, 1
6, 100, 72, 82, 72, 75, 2
7, 100, 77, 91, 52, 87, 8
8, 100, 94, 96, 76, 95, 26
2, 500, 406, 406, 406, 361, 0
3, 500, 313, 354, 150, 314, 0
4, 500, 348, 385, 275, 334, 0
5, 500, 344, 364, 290, 319, 2
6, 500, 391, 415, 353, 401, 5
7, 500, 333, 375, 275, 357, 24
8, 500, 369, 443, 266, 411, 87
2, 10, 9, 9, 9, 10, 0
3, 10, 4, 4, 6, 7, 0
4, 10, 6, 9, 7, 7, 0
5, 10, 6, 9, 4, 7, 1
6, 10, 6, 7, 7, 7, 2
7, 10, 9, 9, 2, 10, 6
8, 10, 6, 6, 6, 7, 18
2, 50, 32, 32, 17, 21, 0
3, 50, 40, 42, 8, 41, 0
4, 50, 33, 38, 33, 43, 0
5, 50, 40, 50, 26, 50, 1
6, 50, 26, 38, 26, 35, 3
7, 50, 29, 32, 19, 36, 7
8, 50, 36, 43, 29, 41, 21
2, 100, 84, 97, 84, 93, 0
3, 100, 81, 100, 81, 100, 0
4, 100, 73, 76, 73, 74, 0
5, 100, 82, 85, 58, 69, 1
6, 100, 73, 76, 58, 76, 3
7, 100, 69, 80, 47, 73, 8
8, 100, 60, 70, 19, 64, 36
2, 500, 313, 313, 197, 272, 0
3, 500, 334, 363, 334, 301, 0
4, 500, 367, 468, 367, 444, 1
5, 500, 371, 387, 208, 344, 3
6, 500, 336, 382, 224, 338, 8
7, 500, 414, 444, 376, 430, 29
